chartType,participantID,realValue,reportedValue
StackedBar,participant3668,49,55
Bar,participant3668,65,70
StackedBar,participant3668,93,90
BubbleChart,participant3668,33,65
Bar,participant3668,86,89
BubbleChart,participant3668,49,50
Bar,participant2655,43,50
StackedBar,participant2655,80,82
Bar,participant2655,39,45
StackedBar,participant2655,84,25
BubbleChart,participant2655,62,20
BubbleChart,participant2655,50,45
Bar,participant3195,47,50
StackedBar,participant3195,62,60
BubbleChart,participant3195,90,75
BubbleChart,participant3195,81,80
Bar,participant3195,91,95
StackedBar,participant3195,25,75
Bar,participant3120,69,20
StackedBar,participant3120,92,10
Bar,participant3120,78,10
StackedBar,participant3120,73,90
BubbleChart,participant3120,47,50
BubbleChart,participant3120,75,33
StackedBar,participant2380,38,50.0
Bar,participant2380,80,90.0
StackedBar,participant2380,58,33.0
BubbleChart,participant2380,61,1.2
Bar,participant2380,41,50.0
BubbleChart,participant2380,52,80.0
StackedBar,participant4841,84,50
Bar,participant4841,73,20
StackedBar,participant4841,45,30
BubbleChart,participant4841,57,15
Bar,participant4841,91,30
BubbleChart,participant4841,72,40
StackedBar,participant1102,72,50
Bar,participant1102,85,50
StackedBar,participant1102,59,50
BubbleChart,participant1102,91,100
Bar,participant1102,66,75
BubbleChart,participant1102,39,50
Bar,participant359,24,30
StackedBar,participant359,82,70
BubbleChart,participant359,32,60
BubbleChart,participant359,59,50
Bar,participant359,45,45
StackedBar,participant359,97,90
Bar,participant3393,64,60
StackedBar,participant3393,76,85
BubbleChart,participant3393,59,80
BubbleChart,participant3393,88,95
Bar,participant3393,90,90
StackedBar,participant3393,40,33
Bar,participant4146,69,80
StackedBar,participant4146,74,60
BubbleChart,participant4146,64,50
BubbleChart,participant4146,37,50
Bar,participant4146,94,90
StackedBar,participant4146,88,85
Bar,participant254,34,40
StackedBar,participant254,21,40
BubbleChart,participant254,19,50
BubbleChart,participant254,33,50
Bar,participant254,36,40
StackedBar,participant254,93,40
Bar,participant1,73,75
StackedBar,participant1,30,75
BubbleChart,participant1,46,80
BubbleChart,participant1,61,75
Bar,participant1,86,95
StackedBar,participant1,25,30
BubbleChart,participant3179,39,25.0
BubbleChart,participant3179,18,6.25
Bar,participant3179,52,50.0
Bar,participant3179,72,80.0
StackedBar,participant3179,36,30.0
StackedBar,participant3179,44,30.0
Bar,participant524,26,25
StackedBar,participant524,79,80
BubbleChart,participant524,93,100
BubbleChart,participant524,96,95
Bar,participant524,66,66
StackedBar,participant524,64,50
BubbleChart,participant4773,35,60
BubbleChart,participant4773,21,50
StackedBar,participant4773,48,50
Bar,participant4773,41,50
StackedBar,participant4773,72,50
Bar,participant4773,51,40
StackedBar,participant917,74,25
Bar,participant917,81,90
StackedBar,participant917,69,15
BubbleChart,participant917,26,90
Bar,participant917,45,50
BubbleChart,participant917,21,50
StackedBar,participant2643,31,20
Bar,participant2643,40,40
StackedBar,participant2643,90,100
BubbleChart,participant2643,31,50
Bar,participant2643,73,70
BubbleChart,participant2643,49,60
BubbleChart,participant4291,84,75
BubbleChart,participant4291,94,80
Bar,participant4291,22,25
Bar,participant4291,70,75
StackedBar,participant4291,29,25
StackedBar,participant4291,55,50
Bar,participant3347,77,50
StackedBar,participant3347,82,50
BubbleChart,participant3347,55,50
BubbleChart,participant3347,29,50
Bar,participant3347,30,50
StackedBar,participant3347,26,50
BubbleChart,participant552,59,50
BubbleChart,participant552,55,50
Bar,participant552,96,90
Bar,participant552,80,80
StackedBar,participant552,51,33
StackedBar,participant552,77,66
StackedBar,participant3324,70,40
Bar,participant3324,75,40
StackedBar,participant3324,24,30
BubbleChart,participant3324,42,50
Bar,participant3324,97,100
BubbleChart,participant3324,21,40
StackedBar,participant2539,67,50
Bar,participant2539,99,90
BubbleChart,participant2539,72,90
StackedBar,participant2539,64,75
BubbleChart,participant2539,59,80
Bar,participant2539,30,20
BubbleChart,participant2077,62,50
BubbleChart,participant2077,98,50
StackedBar,participant2077,61,30
Bar,participant2077,74,80
StackedBar,participant2077,39,50
Bar,participant2077,62,75
Bar,participant628,56,50
StackedBar,participant628,67,70
Bar,participant628,75,80
StackedBar,participant628,84,100
